# ID,name,RA,dec,mag
579,,0.117390,-18.820734,8.260
580,,0.117816,6.875548,7.440
581,,0.118189,62.392729,9.520
582,,0.118370,85.404860,8.200
583,,0.118781,-15.850159,8.680
584,,0.118835,-30.561565,8.650
585,,0.118896,-23.036249,10.520
586,,0.118960,-37.929168,8.410
587,,0.118980,14.823728,9.180
588,,0.119186,72.775219,8.420
589,,0.119495,34.853794,8.860
590,,0.119727,46.756978,7.920
591,,0.119833,65.653779,10.970
592,,0.120161,6.204281,8.850
593,,0.120194,-60.070832,9.310
594,,0.120214,-22.027732,10.280
595,,0.120371,-76.730929,7.560
596,,0.120481,73.210297,7.880
597,,0.120686,20.555714,7.990
598,,0.120941,-41.889566,8.230
599,,0.121286,-27.397838,8.520
600,,0.121709,20.965066,9.140
601,,0.121741,-17.386990,6.200
602,,0.121774,7.703558,7.640
603,,0.122069,1.665077,8.950
604,,0.122792,-56.836907,7.480
605,,0.122925,-25.356649,7.060
606,,0.122932,26.450601,7.330
607,,0.123023,-11.033396,8.980
608,,0.123120,-11.612953,8.240
609,,0.123716,-40.479560,8.530
610,,0.123862,-77.494189,8.400
611,,0.124472,-56.011483,7.480
612,,0.124796,17.302737,8.460
613,,0.125339,35.745739,9.290
614,,0.125363,24.321207,8.570
615,,0.125701,-23.818719,8.700
616,,0.125771,32.008744,8.500
617,,0.126312,-60.641821,8.370
618,,0.126439,31.669001,6.870
619,,0.126828,-62.315095,7.500
620,,0.126886,-86.038759,7.390
621,,0.127062,-45.119538,8.190
622,,0.127059,52.772969,7.560
623,,0.127071,53.526542,8.370
624,,0.127138,40.078498,7.390
625,,0.127202,40.147954,6.730
626,,0.127532,-66.895387,8.660
627,,0.127777,1.094204,8.250
628,,0.127831,-7.921323,8.470
629,,0.127908,39.034775,8.010
630,,0.128037,-65.932427,6.830
631,,0.128052,-56.249543,9.060
632,,0.128508,-46.544714,8.790
633,,0.128640,37.185443,7.440
634,,0.128920,-2.548679,6.430
635,,0.129693,-22.508560,5.930
636,,0.129947,-5.485918,8.850
637,,0.130034,21.745574,9.860
638,,0.130111,-11.129061,8.550
639,,0.130828,38.721732,7.660
640,,0.131110,55.577041,7.820
641,,0.131453,-4.854954,9.080
642,,0.131859,-42.153958,10.100
643,,0.131915,-51.257907,8.210
644,,0.133121,-14.226944,8.850
645,,0.133148,-78.210991,7.790
646,,0.133152,-18.684727,7.580
647,,0.133399,-7.544697,7.850
648,,0.133431,-78.598759,7.180
649,,0.133545,29.837513,7.540
650,,0.133562,-39.612117,9.720
651,,0.133810,31.391161,7.120
652,,0.133861,-30.031682,9.770
653,,0.133909,-45.382176,8.840
654,,0.134303,-33.529326,5.670
655,,0.134628,53.796246,8.150
656,,0.134723,-29.416410,9.610
657,,0.134941,4.927244,8.190
658,,0.135998,31.378998,7.270
659,,0.136113,71.159451,8.510
660,,0.136595,-59.063073,8.360
661,,0.136628,-38.281353,10.000
662,,0.136659,-70.055825,8.740
663,,0.136693,-2.447711,6.180
664,,0.136989,-43.646862,10.260
665,,0.137119,-49.721831,10.160
666,,0.137128,29.732273,8.310
667,,0.137408,42.223421,8.580
668,,0.137879,-14.824492,7.040
669,,0.138042,34.495250,8.810
670,,0.138204,-8.824112,5.990
671,,0.138515,-32.700965,8.220
672,,0.139200,-42.943639,9.860
673,,0.139486,3.440644,8.000
674,,0.139640,21.924458,9.400
675,,0.139757,-19.224152,9.100
676,Alpheratz,0.139791,29.090432,2.070
677,,0.140077,50.245332,8.110
678,,0.140227,-57.195133,8.890
679,,0.140370,-51.400744,9.430
680,,0.140485,6.616805,7.590
681,,0.140568,41.957982,8.720
682,,0.140688,-44.273626,9.860
683,,0.140806,-53.443168,9.230
684,,0.140864,-30.068597,9.500
685,,0.140912,17.424300,10.730
686,,0.141017,-24.093733,7.590
687,,0.141237,34.934547,7.410
688,,0.141607,-66.514202,9.260
689,,0.141714,52.336458,7.780
690,,0.141914,-6.792152,7.760
691,,0.142018,20.267280,8.940
692,,0.142088,11.171533,8.950
693,,0.142462,63.204040,6.410
694,,0.142638,-17.578155,6.110
695,,0.143155,53.254100,7.760
696,,0.144105,-74.238455,7.380
697,,0.144710,36.627125,6.210
698,,0.145309,-2.222583,7.050
699,,0.145546,74.214765,7.440
700,,0.145823,-52.328069,8.500
701,,0.146077,14.141976,7.840
702,,0.146154,-86.188489,11.010
703,,0.146163,-34.794373,7.880
704,,0.146318,-66.759461,9.100
705,,0.146337,-36.744173,8.650
706,,0.146547,86.787882,8.410
707,,0.146797,-47.060773,7.810
708,,0.146874,8.021868,7.430
709,,0.146984,-7.897063,8.760
710,,0.147193,40.841019,7.580
711,,0.147195,-60.264565,9.550
712,,0.147223,40.494549,6.820
713,,0.147738,-25.547755,10.240
714,,0.147814,25.462985,6.240
715,,0.147845,0.692453,7.310
716,,0.148031,-42.918242,10.520
717,,0.148058,-35.819052,9.270
718,,0.148235,-22.179517,7.130
719,,0.148699,-26.223648,9.140
720,,0.149052,12.804382,8.480
721,,0.149189,66.456662,8.570
722,,0.149788,-21.206353,7.210
723,,0.149865,34.367931,9.050
724,,0.149905,-39.737159,7.720
725,,0.149981,49.858079,8.030
726,,0.150045,28.247543,6.470
727,,0.150672,18.211963,5.570
728,,0.150660,-54.001931,6.320
729,,0.150744,-35.091879,7.780
730,,0.150800,27.651596,11.650
731,,0.150790,9.849967,8.580
732,,0.150791,-24.335003,10.370
733,,0.150881,22.664265,9.230
734,,0.150932,-59.280974,9.200
735,,0.151014,40.842859,6.930
736,,0.151197,-27.122139,11.730
737,,0.151096,-28.330084,9.320
738,,0.151197,19.924689,7.110
739,,0.151570,-36.650588,9.790
740,,0.151783,-50.607799,8.210
741,,0.151938,-50.013647,8.420
742,,0.152382,-50.166802,7.050
743,,0.152582,-38.289629,9.260
744,Caph,0.152887,59.149780,2.280
745,,0.152834,44.721765,8.770
746,,0.153075,21.059350,9.250
747,,0.153196,-31.477277,9.300
748,,0.153232,44.722674,10.630
749,,0.153585,42.254417,9.900
750,,0.153605,-0.752178,9.890
751,,0.154100,32.476464,9.330
752,,0.154371,25.281961,7.780
753,,0.154625,65.070892,7.020
754,,0.155063,-37.383061,11.260
755,,0.155158,-59.060393,8.890
756,,0.155308,-41.886399,9.600
757,,0.155401,17.533922,7.070
758,,0.155525,79.714545,6.010
759,,0.155851,-27.987928,5.420
760,,0.156485,-41.044534,9.110
761,,0.156465,58.665895,8.240
762,,0.156635,14.417644,8.970
763,,0.156836,-45.747426,3.880
764,,0.156827,0.071997,8.590
765,,0.157661,46.387872,7.170
766,,0.157818,19.115793,7.940
767,,0.157788,1.244035,7.270
768,,0.157834,-12.035195,9.590
769,,0.158451,-10.187542,7.940
770,,0.158525,-34.110862,8.520
771,,0.158617,19.559094,7.590
772,,0.158954,-40.649444,9.170
773,,0.159470,-66.029793,8.080
774,,0.159703,-46.375141,9.800
775,,0.159782,-21.381862,8.920
776,,0.160083,-51.737077,9.910
777,,0.160101,62.667817,9.420
778,,0.160119,26.682032,8.840
779,,0.160147,51.566909,10.150
780,,0.160928,-56.191823,8.370
781,,0.161040,-32.078930,9.330
782,,0.161462,57.259583,9.350
783,,0.161482,-63.589789,7.400
784,,0.161550,-37.314869,8.350
785,,0.162169,-31.825505,9.530
786,,0.162137,-3.678416,9.590
787,,0.162862,36.473758,10.050
788,,0.163481,-40.892934,8.570
789,,0.163469,19.381167,8.480
790,,0.163526,-6.841211,8.430
791,,0.163878,53.526584,8.450
792,,0.163912,-33.789024,8.840
793,,0.164276,61.514040,11.180
